Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of hh target transcription factor activity (GO:0007228)	01-Jun	0.002697301	0.022758996	0.007082303	0.058009275	-5.287560136	31.27858096	cos
signal transduction downstream of smoothened (GO:0007227)	01-Jun	0.002697301	0.022758996	0.007082303	0.058009275	-4.995897654	29.5532505	cos
stem cell fate commitment (GO:0048865)	01-Sep	0.004043525	0.022758996	0.010104115	0.058009275	-4.23176162	23.3197083	osa
negative regulation of sequence-specific DNA binding transcription factor activity (GO:0043433)	01-Jul	0.003146222	0.022758996	0.00809047	0.058009275	-3.686164742	21.23803318	cos
regulation of compound eye cone cell fate specification (GO:0042682)	01-Jun	0.002697301	0.022758996	0.007082303	0.058009275	-3.578700451	21.16981536	Su(H)
ribosomal subunit export from nucleus (GO:0000054)	01-Dec	0.005388133	0.023343909	0.013117877	0.058009275	-3.93176018	20.53777061	mbo
negative regulation of MAP kinase activity (GO:0043407)	01-Sep	0.004043525	0.022758996	0.010104115	0.058009275	-3.726208883	20.53378995	alph
negative regulation of MAPK cascade (GO:0043409)	01-Sep	0.004043525	0.022758996	0.010104115	0.058009275	-3.707019664	20.4280451	alph
ribosomal large subunit export from nucleus (GO:0000055)	01-Jun	0.002697301	0.022758996	0.007082303	0.058009275	-3.402774471	20.1291246	mbo
positive regulation of R7 cell differentiation (GO:0045678)	01-Aug	0.003594963	0.022758996	0.00909774	0.058009275	-3.543687882	19.94466034	alph
negative regulation of intracellular protein transport (GO:0090317)	01-Jul	0.003146222	0.022758996	0.00809047	0.058009275	-3.364158016	19.3827744	mbo
negative regulation of nucleocytoplasmic transport (GO:0046823)	01-Jul	0.003146222	0.022758996	0.00809047	0.058009275	-3.358022825	19.34742617	mbo
regulation of microtubule-based process (GO:0032886)	01-Oct	0.004491907	0.022758996	0.011109596	0.058009275	-3.567562715	19.28438146	tum
negative regulation of protein serine/threonine kinase activity (GO:0071901)	01-Sep	0.004043525	0.022758996	0.010104115	0.058009275	-3.486561662	19.21318076	alph
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	01-Oct	0.004491907	0.022758996	0.011109596	0.058009275	-3.426383102	18.52123818	Su(H)
regulation of ERK1 and ERK2 cascade (GO:0070372)	Feb-33	9.43595E-05	0.002868529	0.00052695	0.016288831	-1.908469615	17.68845692	Pde8;alph
purine ribonucleotide metabolic process (GO:0009150)	01-Oct	0.004491907	0.022758996	0.011109596	0.058009275	-3.111415888	16.81868986	Pde8
regulation of stress-activated MAPK cascade (GO:0032872)	Jan-13	0.005835977	0.023343909	0.014120679	0.058009275	-3.183872166	16.37692636	alph
regulation of microtubule cytoskeleton organization (GO:0070507)	Jan-13	0.005835977	0.023343909	0.014120679	0.058009275	-3.162640341	16.26771593	tum
protein export from nucleus (GO:0006611)	Jan-13	0.005835977	0.023343909	0.014120679	0.058009275	-3.122230904	16.05986137	mbo
regulation of ERBB signaling pathway (GO:1901184)	01-Dec	0.005388133	0.023343909	0.013117877	0.058009275	-3.069307463	16.0327003	osa
regulation of cytokinesis (GO:0032465)	01-Nov	0.00494011	0.023343909	0.012114183	0.058009275	-2.974090373	15.79351346	tum
positive regulation of cell cycle G1/S phase transition (GO:1902808)	Jan-13	0.005835977	0.023343909	0.014120679	0.058009275	-2.930499119	15.07364799	Su(H)
imaginal disc-derived wing morphogenesis (GO:0007476)	4/240	2.43069E-06	0.000369465	5.67611E-05	0.008627685	-1.151101483	14.8806742	Su(H);cos;osa;alph
imaginal disc-derived wing vein morphogenesis (GO:0008586)	Feb-49	0.000209381	0.004790185	0.001120036	0.025281737	-1.70793603	14.46853411	Su(H);osa
negative regulation of cell fate specification (GO:0009996)	Jan-17	0.007625562	0.025637317	0.018122975	0.059646122	-2.936447549	14.31885033	Su(H)
regulation of MAP kinase activity (GO:0043405)	01-Jul	0.003146222	0.022758996	0.00809047	0.058009275	-2.439101113	14.05301011	alph
imaginal disc fusion (GO:0046528)	Jan-19	0.008519279	0.025637317	0.020118786	0.059646122	-2.936468396	13.99351554	alph
imaginal disc-derived wing margin morphogenesis (GO:0008587)	Feb-54	0.000254485	0.004790185	0.001349394	0.025281737	-1.672540663	13.84239598	pot;osa
protein transport along microtubule (GO:0098840)	Jan-14	0.006283642	0.02387784	0.015122589	0.05893932	-2.682562892	13.60007214	cos
regulation of R7 cell differentiation (GO:0045676)	Jan-16	0.007178434	0.025637317	0.017123736	0.059646122	-2.713992305	13.39809525	alph
cAMP metabolic process (GO:0046058)	01-Oct	0.004491907	0.022758996	0.011109596	0.058009275	-2.461014994	13.30296219	Pde8
protein complex localization (GO:0031503)	Jan-15	0.006731128	0.024954425	0.016123608	0.059646122	-2.656819647	13.28678849	cos
wing disc dorsal/ventral pattern formation (GO:0048190)	Feb-52	0.000235922	0.004790185	0.001255161	0.025281737	-1.582577187	13.21769792	Su(H);osa
"imaginal disc fusion, thorax closure (GO:0046529)"	Jan-19	0.008519279	0.025637317	0.020118786	0.059646122	-2.698559009	12.85977656	alph
"dorsal/ventral pattern formation, imaginal disc (GO:0007450)"	Feb-57	0.000283629	0.004790185	0.001496945	0.025281737	-1.564158428	12.77579919	Su(H);osa
regulation of protein metabolic process (GO:0051246)	Jan-22	0.009858515	0.025637317	0.023105847	0.059646122	-2.724539743	12.58579269	cos
positive regulation of mitotic cell cycle phase transition (GO:1901992)	Jan-25	0.011196142	0.025637317	0.026084938	0.059646122	-2.727986935	12.25462479	Su(H)
cyclic nucleotide metabolic process (GO:0009187)	Jan-14	0.006283642	0.02387784	0.015122589	0.05893932	-2.392807092	12.13106659	Pde8
neuroblast differentiation (GO:0014016)	Jan-25	0.011196142	0.025637317	0.026084938	0.059646122	-2.6156598	11.7500304	osa
negative regulation of stress-activated MAPK cascade (GO:0032873)	Jan-23	0.010304569	0.025637317	0.024099762	0.059646122	-2.55254457	11.67831992	alph
positive regulation of smoothened signaling pathway (GO:0045880)	Jan-17	0.007625562	0.025637317	0.018122975	0.059646122	-2.386504896	11.63719285	cos
apposition of dorsal and ventral imaginal disc-derived wing surfaces (GO:0007475)	Jan-20	0.00896587	0.025637317	0.02111536	0.059646122	-2.383263557	11.23549119	pot
photoreceptor cell differentiation (GO:0046530)	Jan-24	0.010750445	0.025637317	0.025092792	0.059646122	-2.46250922	11.16208185	osa
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	Jan-23	0.010304569	0.025637317	0.024099762	0.059646122	-2.432278095	11.1280806	mbo
negative regulation of Ras protein signal transduction (GO:0046580)	Jan-20	0.00896587	0.025637317	0.02111536	0.059646122	-2.32108119	10.94234299	alph
post-embryonic appendage morphogenesis (GO:0035120)	3/161	4.15072E-05	0.001854924	0.000458008	0.016288831	-1.027209839	10.36418008	cos;osa;alph
negative regulation of smoothened signaling pathway (GO:0045879)	Jan-22	0.009858515	0.025637317	0.023105847	0.059646122	-2.241854688	10.35606782	cos
positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091)	Jan-21	0.009412282	0.025637317	0.022111047	0.059646122	-2.216782905	10.34293238	cos
wing disc pattern formation (GO:0035222)	Feb-76	0.000504239	0.007664432	0.002602046	0.039551101	-1.343059153	10.19712332	Su(H);osa
